episode,TD(l=0.7),TD(0),Monte Carlo
1,-0.3584451675415039,-0.2944808304309845,-0.19029594957828522
2,-0.30282044410705566,-0.22493118047714233,-0.0012330170720815659
3,-0.13622768223285675,-0.04598057642579079,-0.1784149706363678
4,-0.0851115733385086,-0.2594306170940399,-0.05368499457836151
5,-0.1549011468887329,-0.5354259610176086,-0.06904223561286926
6,-0.3995194137096405,-0.3336327075958252,-0.5575301647186279
7,-0.3279251158237457,-0.09108675271272659,-0.23003174364566803
8,-0.08793603628873825,-0.2270323932170868,-0.0967564731836319
9,-0.11633354425430298,-0.04968488961458206,-0.1362171620130539
10,-0.08826375752687454,-0.2161249965429306,-0.1908760964870453
11,-0.21189646422863007,-0.043297577649354935,-0.3117353618144989
12,-0.14773590862751007,-0.21709392964839935,-0.06370234489440918
13,-0.20285412669181824,-0.17543478310108185,-0.49060070514678955
14,-0.4704783856868744,-0.2396332174539566,-0.3103969991207123
15,-0.12576621770858765,-0.31472715735435486,-0.24341510236263275
16,-0.23723642528057098,-0.7634727358818054,-0.16390597820281982
17,-0.6979069709777832,-0.17676344513893127,-0.1680021435022354
18,-0.32980847358703613,0.005784721579402685,-0.09423107653856277
19,-0.16446316242218018,-0.22479762136936188,-0.12679144740104675
20,-0.22850348055362701,-0.2147265076637268,-0.36695435643196106
21,-0.13060159981250763,-0.2622626721858978,-0.2565312385559082
22,-0.1834479570388794,-0.25087201595306396,0.012913697399199009
23,-0.12914399802684784,-0.07009753584861755,-0.3404051959514618
24,-0.22870869934558868,-0.2835402190685272,-0.060143593698740005
25,-0.14402985572814941,-0.29475441575050354,-0.23316167294979095
26,-0.30842816829681396,-0.3463813066482544,-0.3187912106513977
27,-0.12372928857803345,-0.03495977446436882,-0.07909498363733292
28,-0.0938863456249237,-0.10744419693946838,-0.06791586428880692
29,-0.10070192068815231,-0.37049129605293274,-0.26904916763305664
30,-0.16155870258808136,-0.1186901107430458,-0.12032917886972427
31,-0.31938135623931885,-0.19917996227741241,-0.1384832262992859
32,-0.27756205201148987,-0.009449554607272148,-0.09997203946113586
33,-0.3869306147098541,-0.11909361183643341,-0.36712491512298584
34,-0.21948854625225067,-0.3151971399784088,-0.21741630136966705
35,-0.2750532627105713,-0.288692444562912,-0.19304564595222473
36,-0.2467498928308487,-0.26786887645721436,-0.16096067428588867
37,-0.6537914276123047,-0.1928003877401352,-0.2640351355075836
38,-0.10491548478603363,-0.24598194658756256,-0.039230357855558395
39,-0.23128972947597504,-0.3399721086025238,-0.6399492621421814
40,-0.13467980921268463,-0.12424398958683014,-0.059058595448732376
41,-0.25824061036109924,-0.363837331533432,-0.14605510234832764
42,-0.8023953437805176,-0.22008465230464935,-0.05821172893047333
43,-0.786099910736084,-0.044729314744472504,-0.2430618405342102
44,-0.0966891199350357,-0.22746887803077698,-0.29873836040496826
45,-0.18481861054897308,-0.05381828173995018,-0.5502045750617981
46,-0.3342132568359375,-0.11559037119150162,-0.15454226732254028
47,-0.385102242231369,-0.09599458426237106,-0.2852216064929962
48,-0.29869094491004944,-0.12383561581373215,0.020074421539902687
49,-0.3334529995918274,-0.17563773691654205,-0.19992004334926605
50,-0.2219114452600479,-0.3432333171367645,-0.07357656955718994
51,-0.2774481475353241,-0.3490716814994812,-0.0704132616519928
52,-0.07782444357872009,-0.1104259341955185,-0.2793302834033966
53,-0.10750208050012589,-0.11145274341106415,-0.39507296681404114
54,-0.049252260476350784,-0.29341015219688416,-0.5087074637413025
55,-0.3897188901901245,-0.24280311167240143,-0.06897374987602234
56,-0.22152987122535706,-0.08979019522666931,-0.19722490012645721
57,-0.3141433894634247,-0.11242564767599106,-0.0792621597647667
58,-0.05684402585029602,-0.6957741379737854,-0.33507317304611206
59,-0.335262268781662,-0.26118481159210205,-0.30303624272346497
60,-0.31015318632125854,-0.11644641309976578,-0.14163820445537567
61,-0.09511866420507431,-0.1808711588382721,-0.20086628198623657
62,-0.2165578007698059,-0.15749819576740265,-0.37841951847076416
63,-0.3177441954612732,-0.12032286822795868,-0.5776039958000183
64,-0.2179872989654541,-0.29219484329223633,-0.18820109963417053
65,-0.2800917625427246,-0.20616523921489716,-0.180148646235466
66,-0.1806994527578354,-0.20088106393814087,-0.20548208057880402
67,-0.17962048947811127,-0.15982192754745483,-0.22832246124744415
68,-0.12842172384262085,-0.126924067735672,-0.0667571946978569
69,-0.7754863500595093,-0.10275828838348389,-0.14474739134311676
70,-0.0492439866065979,-0.06866981089115143,-0.16479115188121796
71,-0.07626745849847794,-0.3600757122039795,-0.1606539934873581
72,-0.15981565415859222,-0.0869981124997139,-0.07784383744001389
73,-0.2905031442642212,-0.14021779596805573,-0.14306259155273438
74,-0.3140130639076233,-0.3846133053302765,-0.654893696308136
75,-0.16606441140174866,-0.3495824337005615,-0.035690806806087494
76,-0.17685681581497192,-0.1568133533000946,-0.13977526128292084
77,-0.18916985392570496,-0.3557838797569275,-0.1760168969631195
78,-0.2234959900379181,-0.2075881063938141,-0.3134935796260834
79,-0.1732945740222931,-0.22346793115139008,-0.07367991656064987
80,-0.1069321557879448,-0.3225688338279724,-0.04668367654085159
81,-0.4021855294704437,-0.15571919083595276,-0.656836986541748
82,-0.21520113945007324,-0.1483764797449112,-0.18381473422050476
83,-0.18377353250980377,-0.1035866066813469,-0.2153082937002182
84,-0.371669203042984,-0.1551452875137329,-0.2327701300382614
85,-0.0650845617055893,-0.2093421369791031,-0.03310108929872513
86,-0.07480081915855408,-0.15111865103244781,-0.20798783004283905
87,-0.2865503132343292,-0.17308543622493744,-0.09012395888566971
